Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,2023-07-14,156,122.4,1673557134,54950,91343768,80.0,397523735,10125293,341522,114990786,761760624
Last Night,3 Songs At A Time Sampler,Morgan Wallen,2023-01-31,157,121.9,922010059,107189,61174155,79.0,141852059,567295,285414,61112010,811685466
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,158,121.2,532012790,22396,130752527,85.0,13119247,218957,0,0,0
Bad Habits,#NAME?,Ed Sheeran,2020-01-01,159,120.8,1754311538,271758,62218811,74.0,958790883,7686994,1036355,225139300,2658904267
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,2023-08-10,160,120.7,850810162,56104,79334561,82.0,258553384,1174349,1167300,58820722,717259721
Leave The Door Open,Leave The Door Open,Bruno Mars,2021-03-05,161,120.1,1312168384,248793,50068571,75.0,993324548,9537455,1503567,369280607,3350704343
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),2022-01-05,162,119.5,548408,130,20518,24.0,1356336,17701,18000000,334009036,7041708832
good 4 u,good 4 u,Olivia Rodrigo,2021-05-14,163,117.8,2167768056,309421,72787213,79.0,773591065,11098007,1893481,1080682523,8186754429
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,164,117.7,2516804300,296739,113315017,76.0,1779243626,26239833,3774645,177247662,1409756969
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,2018-05-25,165,117.6,2738293818,251033,108433327,74.0,2372399124,26919886,5815851,140938643,1859977153
DESPECHï¿,DESPECHï¿,ROSALï¿½,2022-07-28,166,116.9,1003487432,126402,88024543,73.0,621874255,2859234,2409247,476447290,6208638113
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,167,116.7,1638836101,272933,50425049,70.0,1170441361,13667470,5241838,364560431,3869815694
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,2023-03-23,168,116.6,372423476,44730,21933393,71.0,131308671,1074684,1102985,38959591,830123390
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2023-08-24,169,116.5,630373315,70400,105320547,84.0,50938569,246731,215433,70110809,586454750
Circles,Circles,Post Malone,2019-08-30,170,116.0,2481391466,332437,124491320,80.0,1116323669,8490012,83111,26892604,273522601
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,2023-08-03,171,115.9,474590289,24891,25915889,78.0,577930708,1569516,136500,32754141,509287649
About Damn Time,About Damn Time,Lizzo,2022-04-14,172,115.6,847025688,104052,47808065,66.0,106024874,1080393,3030761,1522267606,15665483220
